equipment_id,customer_id,model,serial_number,install_date,capacity_kw,voltage,warranty_expiration,status,location_notes
EQ-7326,C-1128,X-3000,SN-X3000-68449,2024/01/31,100,120V,01/30/2025,In Service,Rooftop solar coupler
EQ-7276,C-1294,X-12000,SN-X12000-42342,2022-04-13T00:00:00Z,1500,600V,2025-04-12T00:00:00Z,In Service,
EQ-5682,C-1090,X-12000,SN-X12000-83174,2024/05/22,1500,600V,05/22/2027,IN SERVICE,Underground vault 4
EQ-6395,C-1269,X-12000,SN-X12000-24104,2023-10-31,1500,600V,2025/10/30,Standby,NULL
EQ-6788,C-1106,X-5000,SN-X5000-93317,2022/12/05,250,240V,12/05/2023,IN SERVICE,Primary power grid node
EQ-5182,C-1293,X-9000,SN-X9000-44953,09-18-2021,1000,480V,2023-09-18T00:00:00Z,Standby,NULL
EQ-6720,C-1120,X-3000,SN-X3000-40782,06/22/2024,100,120V,2026-06-22T00:00:00Z,Maintenance,<b>Underground vault 4</b>
EQ-5500,C-1448,X-12000,SN-X12000-58067,03/18/2023,1500,600V,03/17/2026,Maintenance,<strong>Primary power grid node</strong>
EQ-6502,C-1267,X-7000,SN-X7000-49713,09-22-2022,500,480V,09/21/2025,Standby,Backup unit near loading dock
EQ-6974,C-1028,X-5000,SN-X5000-82040,02/11/2022,250,240V,2023-02-11,decommissioned,Underground vault 4
EQ-7480,C-1211,X-7000,SN-X7000-78748,08-04-2023,500,480V,2024/08/03,Decommissioned,Rooftop solar coupler
EQ-5052,C-1287,X-12000,SN-X12000-36546,04-15-2023,1500,600V,2026-04-14T00:00:00Z,In Service,<html>Rooftop solar coupler</html>
EQ-5819,C-1026,X-9000,SN-X9000-58066,11-19-2022,1000,480V,2024/11/18,Standby,Backup unit near loading dock
EQ-7266,C-1226,X-12000,SN-X12000-97070,08/26/2022,1500,600V,08-26-2023,Maintenance,Underground vault 4
EQ-6645,C-1361,X-12000,SN-X12000-50901,04/20/2021,1500,600V,04-20-2023,In Service,Underground vault 4
EQ-7002,C-1373,X-12000,SN-X12000-36046,03/28/2024,1500,600V,2026-03-28T00:00:00Z,Maintenance,Substation B switchgear bay
EQ-6348,C-1120,X-7000,SN-X7000-35438,09/22/2021,500,480V,2024/09/21,Standby,Backup unit near loading dock
EQ-6015,C-1270,X-5000,SN-X5000-86215,12/27/2022,250,240V,12/26/2025,Maintenance,<p>Underground vault 4</p>
EQ-6951,C-1126,X-12000,SN-X12000-47769,01/31/2022,1500,600V,2023-01-31,IN SERVICE,<b>Backup unit near loading dock</b>
