claim_id,equipment_id,dispatch_id,part_id,claim_date,claim_amount,approved_amount,status,denial_reason,claim_notes
CLM-9986,EQ-6004,,,2023/10/28,576.91,576.91,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9376,EQ-6471,DISP-14099,PRT-2002,06/28/2022,1031.12,903.5,APPROVED,N/A,Claim for replacement part PRT-2002 under equipment warranty.
CLM-9563,EQ-6411,DISP-13904,PRT-2048,09/22/2021,3618.15,3618.15,Approved,N/A,Claim for replacement part PRT-2048 under equipment warranty.
CLM-9903,EQ-6107,,PRT-2121,2022-01-28,3895.52,NULL,Pending,,Claim for replacement part PRT-2121 under equipment warranty.
CLM-9853,EQ-6872,DISP-12198,NULL,11/30/2021,1073.64,1073.64,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9673,EQ-5091,DISP-10018,PRT-2050,2022-09-16,2687.45,2687.45,APPROVED,N/A,Claim for replacement part PRT-2050 under equipment warranty.
CLM-9180,EQ-5570,DISP-10228,,2023-03-16T00:00:00Z,2730.57,0.0,Rejected,Warranty expired prior to claim date,Claim for replacement part N/A under equipment warranty.  
CLM-9274,EQ-7354,DISP-14565,PRT-2072,2022-12-08T00:00:00Z,1019.83,1019.83,APPROVED,N/A,Claim for replacement part PRT-2072 under equipment warranty.
CLM-9914,EQ-7002,DISP-10347,PRT-2038,2022-05-18T00:00:00Z,208.72,NULL,Pending,,Claim for replacement part PRT-2038 under equipment warranty.
CLM-9334,EQ-5595,DISP-12250,,08/27/2021,1368.36,828.56,Approved,N/A,Claim for replacement part N/A under equipment warranty.  
CLM-9489,EQ-6915,DISP-13592,,12-18-2022,1061.46,NULL,Under Review,,Claim for replacement part N/A under equipment warranty.
CLM-9731,EQ-5735,DISP-11438,PRT-2074,02/21/2023,3439.57,NULL,Under Review,,Claim for replacement part PRT-2074 under equipment warranty.
CLM-9200,EQ-7494,DISP-11789,PRT-2059,04/04/2023,2890.06,2890.06,Approved,N/A,Claim for replacement part PRT-2059 under equipment warranty.
CLM-9692,EQ-6645,DISP-12360,PRT-2106,10/20/2023,2665.02,0.0,Rejected,Unauthorized modification detected,Claim for replacement part PRT-2106 under equipment warranty.
CLM-9231,EQ-5533,DISP-13023,PRT-2015,01/28/2023,2314.03,NULL,Pending,,Claim for replacement part PRT-2015 under equipment warranty.  
CLM-9071,EQ-7294,DISP-11968,PRT-2001,07-28-2023,970.15,970.15,APPROVED,N/A,Claim for replacement part PRT-2001 under equipment warranty.
CLM-9169,EQ-6709,DISP-11356,PRT-2105,2023-02-25,3664.47,NULL,Under Review,,Claim for replacement part PRT-2105 under equipment warranty.
CLM-9706,EQ-7274,DISP-12429,PRT-2080,2022-06-20,1712.3,NULL,Pending,,Claim for replacement part PRT-2080 under equipment warranty.
CLM-10099,EQ-5741,DISP-12793,PRT-2127,2023-07-12T00:00:00Z,4707.55,0.0,Rejected,Normal wear and tear excluded,Claim for replacement part PRT-2127 under equipment warranty.
CLM-9515,EQ-5972,,PRT-2008,12/10/2021,1181.31,0.0,Rejected,Improper installation by non-certified party,Claim for replacement part PRT-2008 under equipment warranty.
CLM-9443,EQ-5173,DISP-12077,PRT-2047,06-05-2023,2105.28,NULL,Pending,,Claim for replacement part PRT-2047 under equipment warranty.  
CLM-9415,EQ-7269,,PRT-2140,11-02-2023,1317.28,1317.28,Under Review,N/A,Claim for replacement part PRT-2140 under equipment warranty.
CLM-9383,EQ-7043,DISP-12397,,01/16/2022,1950.45,NULL,Pending,<p></p>,Claim for replacement part N/A under equipment warranty.
CLM-10084,EQ-5096,DISP-14697,PRT-2041,2024/02/20,1421.38,NULL,Under Review,,  Claim for replacement part PRT-2041 under equipment warranty.  
CLM-9233,EQ-5680,DISP-13349,,09-10-2022,1992.77,0.0,Rejected,Improper installation by non-certified party,Claim for replacement part N/A under equipment warranty.
CLM-10122,EQ-6517,DISP-11383,PRT-2132,2024-05-02T00:00:00Z,3190.88,NULL,Pending,,Claim for replacement part PRT-2132 under equipment warranty.
CLM-10011,EQ-7394,DISP-14741,PRT-2138,09/18/2021,2572.16,NULL,Under Review,,Claim for replacement part PRT-2138 under equipment warranty.
CLM-9458,EQ-5808,,,12-16-2023,3290.83,0.0,Rejected,Normal wear and tear excluded,Claim for replacement part N/A under equipment warranty.
CLM-9580,EQ-7088,,PRT-2060,2021-10-05,3456.77,NULL,Pending,<html></html>,Claim for replacement part PRT-2060 under equipment warranty.
CLM-10128,EQ-6524,DISP-14442,NULL,2023-02-23T00:00:00Z,2677.99,1558.37,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9907,EQ-5609,DISP-13318,PRT-2024,11/09/2022,1037.24,1037.24,APPROVED,<div>N/A</div>,Claim for replacement part PRT-2024 under equipment warranty.
CLM-10077,EQ-7439,DISP-14213,PRT-2149,04/22/2024,292.49,NULL,Pending,,Claim for replacement part PRT-2149 under equipment warranty.
CLM-9767,EQ-7124,DISP-14883,PRT-2080,2024-01-17,195.56,NULL,Under Review,,Claim for replacement part PRT-2080 under equipment warranty.
CLM-9083,EQ-7237,DISP-11778,PRT-2007,08/13/2022,4090.75,NULL,Under Review,,Claim for replacement part PRT-2007 under equipment warranty.
CLM-9739,EQ-5576,DISP-10022,PRT-2045,2022/06/16,2243.95,2243.95,APPROVED,N/A,Claim for replacement part PRT-2045 under equipment warranty.
CLM-9714,EQ-7171,DISP-13115,PRT-2147,05/04/2022,522.82,0.0,Rejected,Unauthorized modification detected,Claim for replacement part PRT-2147 under equipment warranty.  
CLM-9235,EQ-5008,,,11-01-2021,1454.26,1454.26,APPROVED,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9653,EQ-6662,DISP-13714,PRT-2050,10/14/2022,1705.04,NULL,Under Review,,Claim for replacement part PRT-2050 under equipment warranty.
CLM-9817,EQ-6715,DISP-13219,PRT-2069,2024/08/10,3629.96,3629.96,APPROVED,N/A,Claim for replacement part PRT-2069 under equipment warranty.
CLM-10047,EQ-7468,,PRT-2089,11/14/2023,441.86,441.86,Approved,N/A,Claim for replacement part PRT-2089 under equipment warranty.
CLM-9541,EQ-6690,DISP-12856,PRT-2026,01-13-2023,1807.89,1541.92,APPROVED,N/A,Claim for replacement part PRT-2026 under equipment warranty.
CLM-9797,EQ-6025,DISP-10994,PRT-2012,2021-09-04T00:00:00Z,271.95,0.0,Rejected,<html>Improper installation by non-certified party</html>,Claim for replacement part PRT-2012 under equipment warranty.  
CLM-9906,EQ-5784,DISP-14315,   ,2022-01-15T00:00:00Z,3937.83,3937.83,APPROVED,N/A,  Claim for replacement part N/A under equipment warranty.  
CLM-9654,EQ-5727,,PRT-2050,2023-11-11T00:00:00Z,4132.58,NULL,Under Review,,  Claim for replacement part PRT-2050 under equipment warranty.  
CLM-9685,EQ-5912,DISP-12517,   ,09/07/2022,1425.32,1425.32,Approved,N/A,Claim for replacement part N/A under equipment warranty.
CLM-9655,EQ-6155,DISP-14720,PRT-2050,01/17/2023,1279.66,NULL,Under Review,,Claim for replacement part PRT-2050 under equipment warranty.
CLM-9650,EQ-5478,DISP-14417,PRT-2071,10/21/2021,4040.43,4040.43,APPROVED,N/A,Claim for replacement part PRT-2071 under equipment warranty.
CLM-9940,EQ-7286,NULL,PRT-2077,2023-04-04T00:00:00Z,3788.14,NULL,Pending,,Claim for replacement part PRT-2077 under equipment warranty.
