dispatch_id,equipment_id,customer_id,dispatch_date,technician,service_type,hours_spent,labor_cost,resolution_summary,status
DISP-10001,EQ-5805,C-1076,03-21-2024,   Mike Johnson,Diagnostic,3.2,384.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-10002,EQ-6058,C-1431,2022-07-15,Jennifer Chen,Diagnostic,10.3,1545.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10003,EQ-5761,C-1113,08/01/2023,   Carlos Sanchez,Installation,3.2,$480.00,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,COMPLETED
DISP-10004,EQ-6682,C-1055,01/26/2023,NULL,Software Update,3.4,408.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Cancelled
DISP-10005,EQ-5105,C-1448,04-13-2023,Carlos Sanchez,Installation,9.8,1176.0,Replaced burnt fuse block. Test run completed successfully.,COMPLETED
DISP-10006,EQ-6178,C-1001,2022/11/23,Sarah Williams,Corrective Maintenance,0.8,76.0,Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.,Pending
DISP-10007,EQ-5069,C-1150,05/12/2022,David Lee,Warranty Replacement,2.7,405.0,Calibrated inverter output. System operating within normal parameters.,Completed
DISP-10008,EQ-5491,C-1226,2022/04/06,Robert Martinez,Emergency Repair,8.3,1245.0,Calibrated inverter output. System operating within normal parameters.,COMPLETED
DISP-10009,EQ-6081,C-1237,2024-05-09,Maria Garcia  ,Installation,5.1,$484.50,<p>Calibrated inverter output. System operating within normal parameters.</p>,Completed
DISP-10010,EQ-5405,C-1292,2023-03-01,Lisa Rodriguez,Diagnostic,5.6,420.0,Performed standard preventive check. Updated firmware to v4.2.1.,Pending
DISP-10011,EQ-7095,C-1497,2021/06/02,,Software Update,4.2,504.0,<b>Emergency dispatch for over-temperature alarm. Cleaned heat exchanger.</b>,completed
DISP-10012,EQ-5740,C-1031,2024-03-06,Carlos Sanchez,Preventive Maintenance,4.9,465.5,Replaced faulty thermal sensor and verified system bus voltage.,Completed
DISP-10013,EQ-7123,C-1247,2021/11/27,   ,Corrective Maintenance,3.3,396.0,<html><body>Replaced burnt fuse block. Test run completed successfully.</body></html>,completed
DISP-10014,EQ-6024,C-1076,2023-01-17,  Robert Martinez  ,Installation,1.2,180.0,Performed standard preventive check. Updated firmware to v4.2.1.,completed
DISP-10015,EQ-5096,C-1057,2022-02-06T00:00:00Z,David Lee  ,Software Update,3.9,585.0,<div>Performed standard preventive check. Updated firmware to v4.2.1.</div>,completed
DISP-10016,EQ-6585,C-1204,2022-02-14T00:00:00Z,Patricia Davis,Preventive Maintenance,5.4,648.0,Performed standard preventive check. Updated firmware to v4.2.1.,In Progress
