part_id,part_name,category,manufacturer,supplier,unit_cost,unit_price,stock_quantity,reorder_level
PRT-2001,Solid-State Circuit Breaker Model-C,Core Components,PowerCable Co,Supplier-A,134.3,194.36,292,43
PRT-2002,Fusing Unit 200A Model-PRO,Components,ThermalTech,Supplier-D,647.77,1185.23,10,40
PRT-2003,Thermal Paste 50g Model-PRO,Consumables,DisplayTech,Supplier-C,1200.52,1589.42,81,16
PRT-2004,High-Voltage Relay Model-B,Components,VoltageReg Systems,Supplier-A,1202.26,2138.9,208,47
PRT-2005,BMS Control Board Model-B,Electronics,ThermalTech,Supplier-E,1002.47,2126.7,251,35
PRT-2006,Cooling Fan 120V Model-A,Components,Gigavolt,Supplier-B,169.34,316.61,9,20
PRT-2007,Solid Lithium Cell Array Model-MAX,Core Components,PowerElec,Supplier-C,1010.91,1342.68,342,38
PRT-2008,Cooling Fan 120V Model-MAX,Components,DisplayTech,Supplier-D,116.18,205.73,339,46
PRT-2009,Lithium Cell Module 48V Model-A,Core Components,DisplayTech,Supplier-C,246.57,329.49,198,18
PRT-2010,High-Temp Gasket Seal Model-C,Consumables,ThermalTech,Supplier-A,469.72,770.61,65,32
PRT-2011,Current Transformer Sensor Model-A,Electronics,BatteryCore Inc,Supplier-D,812.69,1108.58,257,42
PRT-2012,Thermal Paste 50g Model-C,Consumables,Gigavolt,Supplier-E,48.47,88.83,34,18
PRT-2013,BMS Control Board Model-B,Electronics,DisplayTech,Supplier-C,439.68,593.58,280,12
PRT-2014,Thermal Paste 50g Model-C,Consumables,SafeSwitch,Supplier-C,505.38,696.3,316,13
PRT-2015,CAN-Bus Transceiver Model-MAX,Electronics,SmartBMS Inc,Supplier-D,668.81,1036.58,206,24
PRT-2016,Fusing Unit 200A Model-PRO,Components,SmartBMS Inc,Supplier-C,1124.62,2261.03,333,39
PRT-2017,   Cooling Fan 120V Model-C,Components,VoltageReg Systems,Supplier-B,104.67,220.82,99,17
PRT-2018,DC Contactor 400A Model-B,Components,PowerElec,Supplier-A,689.51,1029.0,324,23
PRT-2019,Voltage Regulator Mod Model-MAX,Electronics,SafeSwitch,Supplier-C,1141.06,1808.77,335,13
PRT-2020,Fusing Unit 200A Model-PRO,Components,DisplayTech,Supplier-B,1250.06,2243.39,292,22
PRT-2021,Thermal Sensor Module Model-A,Components,PowerElec,Supplier-E,993.23,2028.59,14,23
PRT-2022,Power Transformer 500kVA Model-B,Core Components,SafeSwitch,Supplier-A,141.71,264.22,308,10
PRT-2023,Power Transformer 500kVA Model-PRO,Core Components,DisplayTech,Supplier-D,930.27,1459.89,197,20
PRT-2024,Lithium Cell Module 48V Model-MAX,Core Components,Gigavolt,Supplier-A,17.77,24.01,316,47
PRT-2025,BMS Control Board Model-MAX,Electronics,ThermalTech,Supplier-A,480.7,913.38,77,19
PRT-2026,Cooling Liquid 5L Model-C,Consumables,BatteryCore Inc,Supplier-C,662.32,1306.4,259,13
PRT-2027,High-Temp Gasket Seal Model-PRO,Consumables,AirFlow Systems,Supplier-C,1341.24,2189.88,36,21
